                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.80635,                0.62555,                 1.2369,                0.79332,                0.79066,                0.78283,                0.50461,                 1.5335,                 1.1112,                 2.0039,               0.002476,               0.002476,               0.002476
                     79,                 0.8048,                0.61971,                 1.2354,                0.79373,                0.78873,                0.77879,                0.50079,                  1.534,                 1.1129,                 2.0032,               0.002377,               0.002377,               0.002377
                     80,                 0.8041,                0.61794,                  1.235,                0.78132,                0.79819,                0.77997,                  0.503,                 1.5381,                 1.1157,                 2.0075,               0.002278,               0.002278,               0.002278
                     81,                0.79702,                0.61017,                 1.2264,                0.79023,                0.79591,                0.77962,                0.50331,                 1.5404,                 1.1187,                 2.0102,               0.002179,               0.002179,               0.002179
                     82,                 0.7945,                0.60216,                 1.2281,                0.79081,                0.79511,                0.77936,                0.50304,                 1.5394,                 1.1192,                 2.0085,                0.00208,                0.00208,                0.00208
                     83,                 0.7933,                0.60198,                 1.2246,                0.78772,                 0.7971,                0.77936,                0.50352,                 1.5373,                  1.117,                 2.0066,               0.001981,               0.001981,               0.001981
                     84,                0.79774,                0.60341,                 1.2269,                0.78567,                0.79858,                0.77928,                 0.5036,                  1.536,                 1.1187,                 2.0053,               0.001882,               0.001882,               0.001882
                     85,                0.78144,                0.59824,                  1.219,                0.77977,                0.79927,                0.77893,                0.50311,                 1.5353,                 1.1217,                 2.0061,               0.001783,               0.001783,               0.001783
                     86,                0.78677,                0.59789,                 1.2207,                0.77748,                0.79916,                0.77869,                0.50346,                 1.5353,                 1.1236,                 2.0075,               0.001684,               0.001684,               0.001684
                     87,                0.77664,                0.58969,                 1.2173,                0.77679,                0.80341,                0.77886,                0.50393,                 1.5351,                 1.1246,                 2.0078,               0.001585,               0.001585,               0.001585
